p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.85729251363857e-57	1.17299078102087	0.842	0.489	5.99626888028211e-53	10	Kcnj3
3.35169097057019e-31	0.787923034415397	0.771	0.548	1.08209342984859e-26	10	Rgs17
1.91536096262103e-26	0.774043852919966	0.523	0.237	6.18374286782199e-22	10	Rgs6
3.98043401903725e-26	0.629260229671887	0.932	0.887	1.28508312304618e-21	10	Rgs7
3.71888269056589e-23	-0.603252570507027	0.333	0.688	1.2006412766492e-18	10	Rgs11
4.18278685776984e-23	-0.586332434068084	0.384	0.725	1.35041273703099e-18	10	Adcy5
3.67760078761228e-17	-0.421526910760771	0.832	0.945	1.18731341428063e-12	10	Gnao1
2.83647097180204e-10	0.272493175581474	0.172	0.066	9.15754653246288e-06	10	Rgs8
3.15222261392688e-07	0.351253366575784	0.315	0.207	0.0101769507090629	10	Rgs9
0.000183026865305623	-0.099185161327953	0.28	0.451	1	10	Gnaz
0.000202371111215201	0.0846954857272926	0.05	0.016	1	10	Rgs16
0.000240398831328759	-0.156661116473888	0.384	0.557	1	10	Gnai1
0.000882985657532624	-0.0549371901160307	0.19	0.316	1	10	Gnai3
6.89437278350254e-49	0.997105415251655	0.548	0.204	2.22584825315379e-44	9	Rgs6
3.21807457566969e-48	0.751028708087922	0.813	0.517	1.03895537675496e-43	9	Rgs17
1.52813610740816e-47	0.755681974338691	0.799	0.469	4.93358742276723e-43	9	Kcnj3
2.3494607367873e-41	0.632469868235483	0.955	0.877	7.5852339887178e-37	9	Rgs7
3.28115512698748e-32	-0.612969471924987	0.452	0.738	1.05932093274791e-27	9	Adcy5
7.84413121752299e-14	-0.397232353475946	0.49	0.677	2.5324777635773e-09	9	Rgs11
9.45227908394671e-13	-0.292833812345222	0.89	0.94	3.0516683022522e-08	9	Gnao1
1.97895031590309e-06	-0.210946678432364	0.419	0.563	0.0638904109489312	9	Gnai1
2.58918367917364e-06	-0.2053055793961	0.313	0.457	0.0835917950821209	9	Gnaz
9.4933927996107e-06	0.0920871110681936	0.134	0.067	0.306494186535431	9	Rgs8
0.000210235509488738	0.160887604330741	0.23	0.161	1	9	Kcnj9
0.00797107021464479	0.0452656918352294	0.062	0.034	1	9	Rgs4
5.39134791764765e-08	0.220906666077435	0.836	0.606	0.00174059667521254	2	Rgs11
2.1874998962294e-06	-0.668496089610572	0.535	0.54	0.0706234341497663	2	Kcnj3
5.06915025400051e-06	0.126468863790516	0.955	0.884	0.163657515950407	2	Rgs7
0.000239558830882006	0.0175471554849166	0.338	0.203	1	2	Pde6d
0.000537646695439994	0.0317753880629453	0.61	0.397	1	2	Gnaz
0.00107656587566239	0.00927132199550419	0.115	0.058	1	2	Rgs19
0.00123106395983749	-0.532886242401454	0.219	0.287	1	2	Rgs6
0.00134334879646492	-0.0174343796212009	0.792	0.546	1	2	Rgs17
0.00223293915906894	-0.0164944875321172	0.112	0.057	1	2	Rgs10
0.00416894723421887	0.0651738883562112	0.822	0.654	1	2	Adcy5
0.00495204526212589	0.00626485163294677	0.019	0.004	1	2	Gnat2
6.23861390513768e-110	-1.07440381571314	0.371	0.795	2.0141364992737e-105	1	Rgs17
4.16436788386308e-103	-0.921945197975547	0.84	0.948	1.3444661713052e-98	1	Rgs7
5.41606893814806e-87	-1.11015970698272	0.347	0.738	1.7485778566811e-82	1	Kcnj3
1.12552797309649e-66	-1.07044278808651	0.111	0.449	3.63376706114203e-62	1	Rgs6
1.98326499063731e-48	0.587085676886805	0.814	0.535	6.40297102227256e-44	1	Adcy5
5.43488797607797e-31	0.391904326612563	0.96	0.898	1.75465358307677e-26	1	Gnao1
1.34115643823409e-20	0.391237718133796	0.731	0.541	4.32992356083877e-16	1	Rgs11
1.33337405702862e-13	-0.160395101861849	0.036	0.127	4.3047981431169e-09	1	Rgs8
2.74036008886949e-13	-0.266012358548867	0.158	0.29	8.84725254691514e-09	1	Rgs9
2.82125012339444e-12	0.272928729708618	0.598	0.465	9.10840602337896e-08	1	Gnai1
4.19709396502337e-07	-0.169356777810746	0.134	0.218	0.0135503178660779	1	Kcnj9
4.44050048702624e-05	0.164543350959204	0.465	0.386	1	1	Gnaz
0.000181495811598624	-0.0839361828988626	0.044	0.086	1	1	Rgs10
0.000183086672671175	-0.066602433172595	0.009	0.033	1	1	Rgs16
0.000404359973531329	-0.104328245123666	0.187	0.258	1	1	Pde6d
0.000775615934452443	-0.048287974203158	0.025	0.055	1	1	Rgs4
0.00492429607480228	-0.0980330957840019	0.14	0.184	1	1	Adcy6
